,GENDER,QUIZ,ASSIGN,MID,FINAL,TOTAL,LG,GP,BATCH,QUIZ_PERCENT,ASSIGN_PERCENT,MID_PERCENT,FINAL_PERCENT
129,F,9.2,7.7,8.0,25.7,51,D,1.3,bse_fa21,61.33333333333333,77.0,32.0,51.4
130,M,12.9,8.7,21.0,25.7,68,C+,2.3,bse_fa21,86.0,86.99999999999999,84.0,51.4
131,F,11.3,8.7,21.5,40.0,82,B+,3.3,bse_fa21,75.33333333333334,86.99999999999999,86.0,80.0
132,M,9.2,8.0,7.5,25.7,50,D,1.3,bse_fa21,61.33333333333333,80.0,30.0,51.4
133,M,12.1,9.7,24.0,40.0,86,A-,3.7,bse_fa21,80.66666666666666,97.0,96.0,80.0
134,M,10.8,8.3,20.5,25.7,65,C+,2.3,bse_fa21,72.00000000000001,83.0,82.0,51.4
135,F,10.8,8.3,17.5,35.7,72,B-,2.7,bse_fa21,72.00000000000001,83.0,70.0,71.4
136,F,11.0,8.0,12.5,27.1,59,C-,1.7,bse_fa21,73.33333333333333,80.0,50.0,54.2
137,F,11.9,8.7,24.0,32.9,78,B,3.0,bse_fa21,79.33333333333333,86.99999999999999,96.0,65.8
138,M,9.2,8.0,11.5,21.4,50,D,1.3,bse_fa21,61.33333333333333,80.0,46.0,42.8
139,M,9.2,5.0,8.0,40.0,62,C,2.0,bse_fa21,61.33333333333333,50.0,32.0,80.0
140,M,10.0,6.0,17.0,28.6,62,C,2.0,bse_fa21,66.66666666666666,60.0,68.0,57.2
141,M,10.4,8.3,15.5,27.1,61,C,2.0,bse_fa21,69.33333333333334,83.0,62.0,54.2
142,F,10.0,8.7,15.0,30.0,64,C,2.0,bse_fa21,66.66666666666666,86.99999999999999,60.0,60.0
143,F,10.0,9.0,19.0,50.0,88,A-,3.7,bse_fa21,66.66666666666666,90.0,76.0,100.0
144,M,9.2,8.3,17.5,28.6,64,C,2.0,bse_fa21,61.33333333333333,83.0,70.0,57.2
145,M,10.0,8.3,18.0,21.4,58,C-,1.7,bse_fa21,66.66666666666666,83.0,72.0,42.8
146,M,10.8,9.0,20.0,31.4,71,B-,2.7,bse_fa21,72.00000000000001,90.0,80.0,62.8
147,M,10.4,8.3,13.0,25.7,57,C-,1.7,bse_fa21,69.33333333333334,83.0,52.0,51.4
148,M,10.0,8.0,12.5,27.1,58,C-,1.7,bse_fa21,66.66666666666666,80.0,50.0,54.2
149,M,11.7,8.7,17.0,20.0,57,C-,1.7,bse_fa21,77.99999999999999,86.99999999999999,68.0,40.0
150,F,9.6,7.7,8.0,27.1,52,D,1.3,bse_fa21,64.0,77.0,32.0,54.2
151,M,11.7,8.3,19.5,30.0,70,B-,2.7,bse_fa21,77.99999999999999,83.0,78.0,60.0
152,M,11.7,8.7,19.0,25.7,65,C+,2.3,bse_fa21,77.99999999999999,86.99999999999999,76.0,51.4
153,M,9.6,8.0,10.5,22.9,51,D,1.3,bse_fa21,64.0,80.0,42.0,45.8
155,M,9.6,7.7,11.0,25.7,54,D,1.3,bse_fa21,64.0,77.0,44.0,51.4
156,M,10.2,8.3,18.0,20.0,57,C-,1.7,bse_fa21,68.0,83.0,72.0,40.0
158,F,10.0,8.3,16.5,25.7,61,C,2.0,bse_fa21,66.66666666666666,83.0,66.0,51.4
159,M,10.2,5.3,10.0,14.3,40,F,0.0,bse_fa21,68.0,53.0,40.0,28.6
160,F,10.0,8.0,12.0,28.6,59,C-,1.7,bse_fa21,66.66666666666666,80.0,48.0,57.2
161,M,9.8,8.0,13.5,20.0,51,D,1.3,bse_fa21,65.33333333333334,80.0,54.0,40.0
